0,0,3,2,0,0,0,0,0,0,1,0,4,4,2,11
-4.497,3.018,0,0,0.609,0.115,0.673,0.709,-0.03,0.861,-0.704,-1.038,2,3,0,9
-2.846,1.01,0,0,-0.219,-0.083,0.091,0.076,0.442,0.509,-1.181,-0.021,0,0,0,10
-3.693,-0.568,0,0,0.727,1.236,0.612,1.502,-0.804,-0.763,-0.346,0.788,2,3,0,3
-3.543,0.624,0,0,0.674,1.413,0.653,-0.445,-0.803,-0.256,-0.65,0.423,2,3,0,1
-3.293,0.93,0,0,0.522,1.48,0.249,-0.661,-0.643,-0.094,-0.132,0.198,0,1,0,2
-1.708,0.944,2,0,-0.14,0.151,-0.092,-0.481,0.22,0.034,-0.692,0.19,2,3,0,3
-2.942,2.091,2,1,-0.353,-0.364,-0.61,0.401,0.864,0.191,-0.764,-0.235,2,1,1,4
-3.253,1.025,2,0,-0.286,0.713,-0.036,0.539,0.476,-0.116,-0.945,-0.108,0,1,0,5
-3.661,3.266,2,0,-0.117,-0.237,-0.755,0.092,0.686,0.381,-0.58,-0.687,2,3,0,0
-4.216,3.638,2,0,0.192,-0.023,-1.231,-0.32,0.128,1.03,0.061,-0.179,1,0,0,7
-4.077,2.542,0,0,0.039,0.082,0.218,0.393,0.324,0.399,-0.658,-0.964,0,2,0,8
-4.544,3.046,0,0,1.028,-0.016,0.447,0.884,-0.094,0.885,-0.459,-1.099,3,3,1,9
